City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Saint-Augustin,CA,2021-11-08 01:30:36,51.226,-58.6502,40.37,78,100,3.67
269,Savona,IT,2021-11-08 01:30:37,44.3,8.2667,55.65,81,93,6.08
270,Xining,CN,2021-11-08 01:30:37,36.6167,101.7667,21.97,48,99,1.81
271,Eyl,SO,2021-11-08 01:31:38,7.9803,49.8164,74.46,80,17,8.88
272,Torbay,CA,2021-11-08 01:30:54,47.6666,-52.7314,46.76,84,90,12.66
273,Kahului,US,2021-11-08 01:27:31,20.8947,-156.47,84.22,69,20,23.02
274,Clinton,US,2021-11-08 01:31:38,42.587,-82.9199,54.28,83,40,5.75
275,Matagami,CA,2021-11-08 01:31:39,49.7502,-77.6328,44.71,100,90,5.75
276,Nsanje,MW,2021-11-08 01:31:39,-16.92,35.262,71.47,55,1,4.21
277,Manta,EC,2021-11-08 01:31:40,-0.95,-80.7333,71.38,83,75,10.36
278,Padang,ID,2021-11-08 01:31:40,-0.9492,100.3543,78.85,81,100,5.01
279,Qaqortoq,GL,2021-11-08 01:31:40,60.7167,-46.0333,32.5,84,100,2.73
280,Sorong,ID,2021-11-08 01:31:41,-0.8833,131.25,85.23,70,8,2.93
281,Airai,TL,2021-11-08 01:31:41,-8.9266,125.4092,74.37,66,90,1.14
282,Zyryanskoye,RU,2021-11-08 01:31:41,56.8306,86.6258,28.33,76,100,17.9
283,Kapit,MY,2021-11-08 01:31:42,2.0167,112.9333,84.33,71,100,1.88
284,Nuevitas,CU,2021-11-08 01:31:42,21.5453,-77.2644,72.84,72,100,6.89
285,Dabat,ET,2021-11-08 01:31:42,12.9842,37.765,53.56,64,74,4.18
286,Mahon,ES,2021-11-08 01:31:43,39.8885,4.2658,55.96,88,75,16.11
287,Petropavlovsk-Kamchatskiy,RU,2021-11-08 01:31:43,53.0452,158.6483,34.39,48,40,15.66
288,Nacala,MZ,2021-11-08 01:31:43,-14.5428,40.6728,75.99,87,37,5.99
289,Pallasovka,RU,2021-11-08 01:31:44,50.05,46.8833,39.63,87,98,5.99
290,Vostok,RU,2021-11-08 01:31:44,46.4856,135.8833,36.91,30,97,3.44
291,Punta De Bombon,PE,2021-11-08 01:31:44,-17.1717,-71.7931,64.49,80,75,5.3
292,Westport,US,2021-11-08 01:27:49,41.1415,-73.3579,52.18,69,1,5.75
293,Macusani,PE,2021-11-08 01:31:45,-14.0833,-70.4333,39.29,85,100,5.99
