City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Morant Bay,JM,17.8815,-76.4093,80.22,84,80,2.75,broken clouds
289,Hasaki,JP,35.7333,140.8333,70.2,51,44,12.88,scattered clouds
290,Samarai,PG,-10.6167,150.6667,85.48,71,4,14.41,clear sky
291,Yenagoa,NG,4.9247,6.2642,75.29,94,79,2.21,broken clouds
292,Tromso,NO,69.6496,18.957,32.02,86,90,4.0,light snow
293,Odweyne,SO,9.4092,45.064,69.66,39,20,8.46,few clouds
294,Bontang,ID,0.1333,117.5,79.11,87,97,5.17,moderate rain
295,Kaeo,NZ,-35.1,173.7833,71.33,71,42,3.71,scattered clouds
296,Namie,JP,37.4833,141.0,68.97,75,46,1.01,scattered clouds
297,Qui Nhon,VN,13.7667,109.2333,81.1,84,52,16.55,broken clouds
298,Wanning,CN,18.8003,110.3967,71.91,87,75,14.97,broken clouds
299,Makushino,RU,55.2103,67.2442,35.08,71,26,17.69,scattered clouds
300,Bubaque,GW,11.2833,-15.8333,82.96,75,47,10.89,scattered clouds
301,Harper,LR,4.375,-7.7169,77.63,89,91,4.05,moderate rain
302,Jalapa,MX,19.5333,-96.9167,57.04,99,100,1.36,overcast clouds
303,Gat,IL,31.61,34.7642,76.41,30,1,1.79,clear sky
304,Jijiga,ET,9.35,42.8,67.03,30,4,2.93,clear sky
305,Marawi,PH,7.9986,124.2928,77.65,71,38,7.81,scattered clouds
306,Yabrud,SY,33.9674,36.6574,37.06,35,54,4.23,broken clouds
307,Warmbad,NA,-28.45,18.7333,52.81,62,48,21.25,scattered clouds
308,Marrakesh,MA,31.6315,-8.0083,46.47,53,0,4.61,clear sky
309,Nikolskoye,RU,59.7035,30.7861,37.87,97,100,11.65,moderate rain
310,Chokurdakh,RU,70.6333,147.9167,-16.02,95,86,6.08,overcast clouds
311,Sarakhs,IR,36.5449,61.1577,47.1,30,12,2.82,few clouds
312,Atar,MR,20.5169,-13.0499,70.66,30,77,6.85,broken clouds
313,San Andres,CO,12.5847,-81.7006,82.42,78,75,10.36,broken clouds
314,Mana,GF,5.6592,-53.7767,77.95,88,98,9.98,overcast clouds
315,Cap Malheureux,MU,-19.9842,57.6142,81.46,68,20,11.99,few clouds
316,Quatre Cocos,MU,-20.2078,57.7625,81.09,79,86,11.12,overcast clouds
317,Nicoya,CR,10.1483,-85.452,76.55,88,96,5.79,overcast clouds
318,Mayskiy,RU,47.6931,40.1025,36.81,66,82,4.94,broken clouds
319,Dwarka,IN,22.2394,68.9678,84.42,39,57,15.28,broken clouds
320,Bairiki,KI,1.3292,172.9752,84.2,74,20,6.91,few clouds
321,Genhe,CN,50.7833,121.5167,25.68,39,0,4.27,clear sky
322,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,3.44,clear sky
323,Salas,ES,43.4118,-6.2602,53.96,88,100,1.36,overcast clouds
