City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Gorontalo,ID,85.01,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
454,Bima,ID,90.32,broken clouds,-8.4667,118.7167,Lambitu Hotel
455,Corumba,BR,69.57,overcast clouds,-19.0092,-57.6533,Hotel Laura Vicunha
456,Daru,PG,86.23,scattered clouds,-9.0763,143.2092,Daru Lodge
457,Cam Ranh,VN,82.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
459,Biak,ID,83.8,overcast clouds,-0.9131,122.8766,Penginapan Kim
464,Mpulungu,ZM,81.7,broken clouds,-8.7623,31.1141,Chela moche guest house
465,Nguruka,TZ,73.27,overcast clouds,-5.1092,31.0419,RUSULI LODGE
467,Carauari,BR,72.36,broken clouds,-4.8828,-66.8958,Hotel Fellip
468,Navolato,MX,75.38,clear sky,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
471,Bobo Dioulasso,BF,75.65,clear sky,11.1771,-4.2979,RAN Hotel Somketa
481,Impfondo,CG,71.26,light rain,1.6381,18.0667,Auberge La Place de Jules
482,Poum,NC,76.5,overcast clouds,-20.2333,164.0167,Gîte kajeon
485,Tomatlan,MX,72.7,few clouds,19.9333,-105.25,El Salvial
487,Nikki,BJ,73.11,broken clouds,9.9401,3.2108,Hotel John
490,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
491,Palu,ID,87.15,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
492,Pontian Kecil,MY,84.97,heavy intensity rain,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
495,Arlit,NE,74.46,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
496,Tecoanapa,MX,76.37,broken clouds,16.5167,-98.75,Hotel Manglares
497,Bundaberg,AU,79.09,broken clouds,-24.85,152.35,Takalvan Motel
501,Omboue,GA,75.51,moderate rain,-1.5746,9.2618,Hotel Olako
502,Ndioum,SN,78.98,scattered clouds,16.5129,-14.6471,l'hôtel samassa
503,Rosignol,GY,76.06,overcast clouds,6.2833,-57.5333,Little Rock Suites
505,Bujumbura,BI,79.97,overcast clouds,-3.3822,29.3644,Bora Guest House
506,Patnagarh,IN,79.68,scattered clouds,20.7167,83.15,VISHAL STUDIO
510,Broken Hill,AU,71.31,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
511,Tayu,ID,87.91,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
516,Thap Than,TH,83.62,overcast clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
517,Acapulco,MX,77.13,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
